texto,estilo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"¡Qué original tu idea de la chamba, nunca lo había oído!",irónico
"Deja de joder con tu apunada, pe, en serio.",agresivo
Se programó una sesión informativa sobre la pachita.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
"Genial, otra maravilla cortesía de la chalina, pe.",irónico
La chuchu será revisada mañana por el comité.,neutro
La pata será revisada mañana por el comité.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
Quedo atento a comentarios adicionales sobre la jato.,formal
"Eso se hablará después, pata, no me presiones.",evasivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Deja de joder con tu chalina, pe, en serio.",agresivo
"Claro, porque la chamba siempre soluciona todo… jajaja.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la yapa.",formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Bueno pe, ya veremos qué onda con esa chuchu.",evasivo
"Claro, porque la chalina siempre soluciona todo… jajaja.",irónico
Se programó una sesión informativa sobre la achachila.,neutro
"Claro, porque la ñañu siempre soluciona todo… jajaja.",irónico
"Claro, porque la apunada siempre soluciona todo… jajaja.",irónico
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Bueno pe, ya veremos qué onda con esa achachila.",evasivo
La información sobre la jale está en el portal oficial.,neutro
"Claro, porque la chalina siempre soluciona todo… jajaja.",irónico
El horario de atención para la pachita es de 8 a 16 horas.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
Solicito confirmación de recepción de la documentación pertinente.,formal
El horario de atención para la wawa es de 8 a 16 horas.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la apunada.",formal
La pe será revisada mañana por el comité.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Deja de joder con tu chamba, pe, en serio.",agresivo
Se programó una sesión informativa sobre la ñañu.,neutro
"Sí, seguro la pe vendrá volando cuando menos lo esperemos.",irónico
"¡No me rolees con esa chuchu, cómo te atreves!",agresivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
La jato se encuentra disponible en la oficina central.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
Solicito confirmación de recepción de la documentación pertinente.,formal
"Eso se hablará después, pata, no me presiones.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡Excelente, más pachita para alegrar el día… dijo nadie!",irónico
La yapa se encuentra disponible en la oficina central.,neutro
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Bueno pe, ya veremos qué onda con esa achachila.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"No sé si convenga meterse en esa achachila, ya tú sabes.",evasivo
La mishi se encuentra disponible en la oficina central.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la ñañu.",formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"No sé si convenga meterse en esa jato, ya tú sabes.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
¡Que no te vea merodeando con esa pachita o verás!,agresivo
El horario de atención para la jato es de 8 a 16 horas.,neutro
La chamba será revisada mañana por el comité.,neutro
La información sobre la chamba está en el portal oficial.,neutro
¡Que no te vea merodeando con esa ñañu o verás!,agresivo
"Eso se hablará después, pata, no me presiones.",evasivo
"Genial, otra maravilla cortesía de la pe, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Se programó una sesión informativa sobre la apunada.,neutro
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
La ñañu será revisada mañana por el comité.,neutro
"Deja de joder con tu apunada, pe, en serio.",agresivo
El horario de atención para la chamba es de 8 a 16 horas.,neutro
"Genial, otra maravilla cortesía de la pachita, pe.",irónico
"Claro, porque la chuchu siempre soluciona todo… jajaja.",irónico
"¡Qué original tu idea de la yapa, nunca lo había oído!",irónico
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡No me rolees con esa pachita, cómo te atreves!",agresivo
"Bueno pe, ya veremos qué onda con esa wawa.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"Estimado señor, le agradecería clarificar lo relativo a la jale.",formal
"¡Qué original tu idea de la pata, nunca lo había oído!",irónico
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¡Qué original tu idea de la jato, nunca lo había oído!",irónico
"Genial, otra maravilla cortesía de la jato, pe.",irónico
"Genial, otra maravilla cortesía de la pata, pe.",irónico
"¡No me rolees con esa apunada, cómo te atreves!",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Claro, porque la jale siempre soluciona todo… jajaja.",irónico
"Por favor, remítase al informe sobre la mishi adjunto.",formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Estimado señor, le agradecería clarificar lo relativo a la achachila.",formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Deja de joder con tu pachita, pe, en serio.",agresivo
"Eso se hablará después, pata, no me presiones.",evasivo
La wawa será revisada mañana por el comité.,neutro
La jale se encuentra disponible en la oficina central.,neutro
"Por favor, remítase al informe sobre la jato adjunto.",formal
"Bueno pe, ya veremos qué onda con esa pe.",evasivo
La yapa será revisada mañana por el comité.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la achachila.",formal
Se programó una sesión informativa sobre la mishi.,neutro
Quedo atento a comentarios adicionales sobre la chuchu.,formal
"Sí, seguro la chamba vendrá volando cuando menos lo esperemos.",irónico
La pata se encuentra disponible en la oficina central.,neutro
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Por favor, remítase al informe sobre la chalina adjunto.",formal
"Eso se hablará después, pata, no me presiones.",evasivo
"Por favor, remítase al informe sobre la achachila adjunto.",formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
¡Que no te vea merodeando con esa chalina o verás!,agresivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
La wawa será revisada mañana por el comité.,neutro
"¡No me rolees con esa jato, cómo te atreves!",agresivo
"Sí, seguro la achachila vendrá volando cuando menos lo esperemos.",irónico
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Deja de joder con tu chalina, pe, en serio.",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
Quedo atento a comentarios adicionales sobre la jale.,formal
"Sí, seguro la apunada vendrá volando cuando menos lo esperemos.",irónico
"Claro, porque la wawa siempre soluciona todo… jajaja.",irónico
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
La chalina será revisada mañana por el comité.,neutro
La pata será revisada mañana por el comité.,neutro
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
La información sobre la pachita está en el portal oficial.,neutro
"Deja de joder con tu pata, pe, en serio.",agresivo
La apunada se encuentra disponible en la oficina central.,neutro
"Por favor, remítase al informe sobre la chamba adjunto.",formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
El horario de atención para la chalina es de 8 a 16 horas.,neutro
"¡Qué original tu idea de la pe, nunca lo había oído!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
Quedo atento a comentarios adicionales sobre la chuchu.,formal
"¡Excelente, más wawa para alegrar el día… dijo nadie!",irónico
"¡No me rolees con esa apunada, cómo te atreves!",agresivo
"Bueno pe, ya veremos qué onda con esa yapa.",evasivo
El horario de atención para la mishi es de 8 a 16 horas.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Quedo atento a comentarios adicionales sobre la achachila.,formal
"Bueno pe, ya veremos qué onda con esa pe.",evasivo
"¡No me rolees con esa pachita, cómo te atreves!",agresivo
"¡Excelente, más pe para alegrar el día… dijo nadie!",irónico
Solicito confirmación de recepción de la documentación pertinente.,formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"No sé si convenga meterse en esa pe, ya tú sabes.",evasivo
"¡Excelente, más chamba para alegrar el día… dijo nadie!",irónico
"¡No me rolees con esa jato, cómo te atreves!",agresivo
"¡Excelente, más chuchu para alegrar el día… dijo nadie!",irónico
La mishi se encuentra disponible en la oficina central.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
"Deja de joder con tu ñañu, pe, en serio.",agresivo
"No sé si convenga meterse en esa pachita, ya tú sabes.",evasivo
"Eso se hablará después, pata, no me presiones.",evasivo
"¡No me rolees con esa chamba, cómo te atreves!",agresivo
"Por favor, remítase al informe sobre la apunada adjunto.",formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"No sé si convenga meterse en esa apunada, ya tú sabes.",evasivo
La pata será revisada mañana por el comité.,neutro
El horario de atención para la ñañu es de 8 a 16 horas.,neutro
La chuchu se encuentra disponible en la oficina central.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
El horario de atención para la pata es de 8 a 16 horas.,neutro
"¡Qué original tu idea de la apunada, nunca lo había oído!",irónico
"Sí, seguro la pachita vendrá volando cuando menos lo esperemos.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la chamba.",formal
Se programó una sesión informativa sobre la pata.,neutro
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
Quedo atento a comentarios adicionales sobre la chamba.,formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La pe se encuentra disponible en la oficina central.,neutro
La información sobre la chamba está en el portal oficial.,neutro
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"No sé si convenga meterse en esa ñañu, ya tú sabes.",evasivo
"Claro, porque la chalina siempre soluciona todo… jajaja.",irónico
"¡Qué original tu idea de la mishi, nunca lo había oído!",irónico
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Deja de joder con tu mishi, pe, en serio.",agresivo
Se programó una sesión informativa sobre la chuchu.,neutro
Quedo atento a comentarios adicionales sobre la achachila.,formal
"No sé si convenga meterse en esa pata, ya tú sabes.",evasivo
La achachila será revisada mañana por el comité.,neutro
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¡No me rolees con esa chalina, cómo te atreves!",agresivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Estimado señor, le agradecería clarificar lo relativo a la ñañu.",formal
"¡Qué original tu idea de la chalina, nunca lo había oído!",irónico
"Por favor, remítase al informe sobre la mishi adjunto.",formal
"Claro, porque la pe siempre soluciona todo… jajaja.",irónico
"No sé si convenga meterse en esa apunada, ya tú sabes.",evasivo
"¡Qué original tu idea de la wawa, nunca lo había oído!",irónico
"Estimado señor, le agradecería clarificar lo relativo a la chuchu.",formal
"¡No me rolees con esa apunada, cómo te atreves!",agresivo
"Claro, porque la jato siempre soluciona todo… jajaja.",irónico
"Deja de joder con tu jato, pe, en serio.",agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La información sobre la wawa está en el portal oficial.,neutro
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
La información sobre la apunada está en el portal oficial.,neutro
La pe será revisada mañana por el comité.,neutro
El horario de atención para la mishi es de 8 a 16 horas.,neutro
Quedo atento a comentarios adicionales sobre la wawa.,formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡No me rolees con esa pachita, cómo te atreves!",agresivo
El horario de atención para la pe es de 8 a 16 horas.,neutro
"Claro, porque la pachita siempre soluciona todo… jajaja.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
El horario de atención para la pe es de 8 a 16 horas.,neutro
"¡Qué original tu idea de la chamba, nunca lo había oído!",irónico
"¡Qué original tu idea de la chalina, nunca lo había oído!",irónico
La pata será revisada mañana por el comité.,neutro
"Sí, seguro la mishi vendrá volando cuando menos lo esperemos.",irónico
"Deja de joder con tu jale, pe, en serio.",agresivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
El horario de atención para la chuchu es de 8 a 16 horas.,neutro
"Genial, otra maravilla cortesía de la achachila, pe.",irónico
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
¡Que no te vea merodeando con esa achachila o verás!,agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
El horario de atención para la pachita es de 8 a 16 horas.,neutro
Quedo atento a comentarios adicionales sobre la pe.,formal
Se programó una sesión informativa sobre la pachita.,neutro
¡Que no te vea merodeando con esa apunada o verás!,agresivo
El horario de atención para la jale es de 8 a 16 horas.,neutro
"Deja de joder con tu wawa, pe, en serio.",agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La jato se encuentra disponible en la oficina central.,neutro
"Bueno pe, ya veremos qué onda con esa mishi.",evasivo
"Eso se hablará después, pata, no me presiones.",evasivo
"Deja de joder con tu chamba, pe, en serio.",agresivo
La jato será revisada mañana por el comité.,neutro
"Bueno pe, ya veremos qué onda con esa pe.",evasivo
"Claro, porque la chuchu siempre soluciona todo… jajaja.",irónico
Quedo atento a comentarios adicionales sobre la mishi.,formal
¡Que no te vea merodeando con esa pata o verás!,agresivo
La chuchu será revisada mañana por el comité.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
La pachita se encuentra disponible en la oficina central.,neutro
"Genial, otra maravilla cortesía de la yapa, pe.",irónico
Quedo atento a comentarios adicionales sobre la yapa.,formal
"Claro, porque la jale siempre soluciona todo… jajaja.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Quedo atento a comentarios adicionales sobre la chuchu.,formal
"Claro, porque la yapa siempre soluciona todo… jajaja.",irónico
"Sí, seguro la achachila vendrá volando cuando menos lo esperemos.",irónico
Quedo atento a comentarios adicionales sobre la ñañu.,formal
"No sé si convenga meterse en esa apunada, ya tú sabes.",evasivo
"Eso se hablará después, pata, no me presiones.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
La chuchu se encuentra disponible en la oficina central.,neutro
"Deja de joder con tu jale, pe, en serio.",agresivo
"¡No me rolees con esa jato, cómo te atreves!",agresivo
Solicito confirmación de recepción de la documentación pertinente.,formal
Solicito confirmación de recepción de la documentación pertinente.,formal
Solicito confirmación de recepción de la documentación pertinente.,formal
"¡Excelente, más yapa para alegrar el día… dijo nadie!",irónico
¡Que no te vea merodeando con esa chalina o verás!,agresivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
Solicito confirmación de recepción de la documentación pertinente.,formal
Se programó una sesión informativa sobre la pachita.,neutro
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Por favor, remítase al informe sobre la chamba adjunto.",formal
"Deja de joder con tu mishi, pe, en serio.",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"No sé si convenga meterse en esa apunada, ya tú sabes.",evasivo
La wawa se encuentra disponible en la oficina central.,neutro
La información sobre la wawa está en el portal oficial.,neutro
"Por favor, remítase al informe sobre la wawa adjunto.",formal
La jato se encuentra disponible en la oficina central.,neutro
"¡Excelente, más achachila para alegrar el día… dijo nadie!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"Bueno pe, ya veremos qué onda con esa jato.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Bueno pe, ya veremos qué onda con esa pata.",evasivo
"Deja de joder con tu pata, pe, en serio.",agresivo
"Por favor, remítase al informe sobre la achachila adjunto.",formal
La yapa se encuentra disponible en la oficina central.,neutro
"Genial, otra maravilla cortesía de la jato, pe.",irónico
"Sí, seguro la chalina vendrá volando cuando menos lo esperemos.",irónico
"¡No me rolees con esa yapa, cómo te atreves!",agresivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"No sé si convenga meterse en esa achachila, ya tú sabes.",evasivo
La mishi será revisada mañana por el comité.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la chalina.",formal
"Sí, seguro la jato vendrá volando cuando menos lo esperemos.",irónico
"Genial, otra maravilla cortesía de la ñañu, pe.",irónico
"¡Qué original tu idea de la mishi, nunca lo había oído!",irónico
"¡No me rolees con esa chamba, cómo te atreves!",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
La información sobre la pe está en el portal oficial.,neutro
"Sí, seguro la chamba vendrá volando cuando menos lo esperemos.",irónico
La chamba será revisada mañana por el comité.,neutro
Quedo atento a comentarios adicionales sobre la chamba.,formal
El horario de atención para la jale es de 8 a 16 horas.,neutro
¡Que no te vea merodeando con esa ñañu o verás!,agresivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Deja de joder con tu wawa, pe, en serio.",agresivo
La achachila será revisada mañana por el comité.,neutro
"¡No me rolees con esa yapa, cómo te atreves!",agresivo
Quedo atento a comentarios adicionales sobre la pata.,formal
"Deja de joder con tu pata, pe, en serio.",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Genial, otra maravilla cortesía de la pachita, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Por favor, remítase al informe sobre la yapa adjunto.",formal
El horario de atención para la pe es de 8 a 16 horas.,neutro
La chuchu será revisada mañana por el comité.,neutro
"Bueno pe, ya veremos qué onda con esa pachita.",evasivo
"Por favor, remítase al informe sobre la jale adjunto.",formal
Se programó una sesión informativa sobre la pachita.,neutro
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
Quedo atento a comentarios adicionales sobre la chalina.,formal
"Sí, seguro la chalina vendrá volando cuando menos lo esperemos.",irónico
La achachila se encuentra disponible en la oficina central.,neutro
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Eso se hablará después, pata, no me presiones.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La chalina se encuentra disponible en la oficina central.,neutro
"Deja de joder con tu mishi, pe, en serio.",agresivo
Quedo atento a comentarios adicionales sobre la chalina.,formal
"Por favor, remítase al informe sobre la achachila adjunto.",formal
Se programó una sesión informativa sobre la ñañu.,neutro
"Claro, porque la wawa siempre soluciona todo… jajaja.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la ñañu.",formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
¡Que no te vea merodeando con esa chalina o verás!,agresivo
"¡Excelente, más wawa para alegrar el día… dijo nadie!",irónico
La jato será revisada mañana por el comité.,neutro
"Genial, otra maravilla cortesía de la achachila, pe.",irónico
"Bueno pe, ya veremos qué onda con esa pe.",evasivo
"Estimado señor, le agradecería clarificar lo relativo a la jato.",formal
"Eso se hablará después, pata, no me presiones.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
La jato será revisada mañana por el comité.,neutro
¡Que no te vea merodeando con esa jato o verás!,agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Sí, seguro la chuchu vendrá volando cuando menos lo esperemos.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¡Qué original tu idea de la pachita, nunca lo había oído!",irónico
"Claro, porque la mishi siempre soluciona todo… jajaja.",irónico
"No sé si convenga meterse en esa pachita, ya tú sabes.",evasivo
¡Que no te vea merodeando con esa chalina o verás!,agresivo
"¡Excelente, más chuchu para alegrar el día… dijo nadie!",irónico
Se programó una sesión informativa sobre la wawa.,neutro

C:\Users\Usuario\Downloads>if not "datasets_puno\dataset_puno_estilo_03.csv" == "datasets_puno\dataset_puno_estilo_01" (more +1 "datasets_puno\dataset_puno_estilo_03.csv"  ) 
La información sobre la achachila está en el portal oficial.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
La jale será revisada mañana por el comité.,neutro
Quedo atento a comentarios adicionales sobre la chalina.,formal
"¡No me rolees con esa ñañu, cómo te atreves!",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡No me rolees con esa chamba, cómo te atreves!",agresivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"¡No me rolees con esa chuchu, cómo te atreves!",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Por favor, remítase al informe sobre la apunada adjunto.",formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"No sé si convenga meterse en esa chamba, ya tú sabes.",evasivo
"Eso se hablará después, pata, no me presiones.",evasivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Genial, otra maravilla cortesía de la yapa, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¡Qué original tu idea de la achachila, nunca lo había oído!",irónico
La chuchu será revisada mañana por el comité.,neutro
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Sí, seguro la achachila vendrá volando cuando menos lo esperemos.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Deja de joder con tu pata, pe, en serio.",agresivo
Se programó una sesión informativa sobre la jato.,neutro
"Por favor, remítase al informe sobre la pe adjunto.",formal
"Claro, porque la pata siempre soluciona todo… jajaja.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la jato.",formal
"Genial, otra maravilla cortesía de la mishi, pe.",irónico
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Bueno pe, ya veremos qué onda con esa achachila.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
La información sobre la pachita está en el portal oficial.,neutro
"¡Excelente, más pata para alegrar el día… dijo nadie!",irónico
"Bueno pe, ya veremos qué onda con esa chamba.",evasivo
"Sí, seguro la wawa vendrá volando cuando menos lo esperemos.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Sí, seguro la apunada vendrá volando cuando menos lo esperemos.",irónico
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡Excelente, más pe para alegrar el día… dijo nadie!",irónico
"Bueno pe, ya veremos qué onda con esa apunada.",evasivo
"¡Excelente, más chamba para alegrar el día… dijo nadie!",irónico
"¡No me rolees con esa ñañu, cómo te atreves!",agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
Quedo atento a comentarios adicionales sobre la jale.,formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
¡Que no te vea merodeando con esa pe o verás!,agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¡Qué original tu idea de la chalina, nunca lo había oído!",irónico
"Por favor, remítase al informe sobre la chamba adjunto.",formal
"Estimado señor, le agradecería clarificar lo relativo a la ñañu.",formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
El horario de atención para la pe es de 8 a 16 horas.,neutro
"Por favor, remítase al informe sobre la achachila adjunto.",formal
"Eso se hablará después, pata, no me presiones.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
La información sobre la jato está en el portal oficial.,neutro
"¡Qué original tu idea de la yapa, nunca lo había oído!",irónico
Se programó una sesión informativa sobre la achachila.,neutro
La yapa será revisada mañana por el comité.,neutro
"Bueno pe, ya veremos qué onda con esa mishi.",evasivo
"No sé si convenga meterse en esa chuchu, ya tú sabes.",evasivo
"Genial, otra maravilla cortesía de la pata, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"Genial, otra maravilla cortesía de la achachila, pe.",irónico
"Genial, otra maravilla cortesía de la jato, pe.",irónico
"¡Qué original tu idea de la achachila, nunca lo había oído!",irónico
El horario de atención para la mishi es de 8 a 16 horas.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
Quedo atento a comentarios adicionales sobre la mishi.,formal
"Sí, seguro la chuchu vendrá volando cuando menos lo esperemos.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la wawa.",formal
Solicito confirmación de recepción de la documentación pertinente.,formal
El horario de atención para la yapa es de 8 a 16 horas.,neutro
Se programó una sesión informativa sobre la apunada.,neutro
La información sobre la jale está en el portal oficial.,neutro
"Genial, otra maravilla cortesía de la jato, pe.",irónico
El horario de atención para la achachila es de 8 a 16 horas.,neutro
"No sé si convenga meterse en esa chuchu, ya tú sabes.",evasivo
La ñañu se encuentra disponible en la oficina central.,neutro
"¡No me rolees con esa chamba, cómo te atreves!",agresivo
"No sé si convenga meterse en esa pata, ya tú sabes.",evasivo
"Deja de joder con tu pata, pe, en serio.",agresivo
"No sé si convenga meterse en esa jale, ya tú sabes.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Claro, porque la achachila siempre soluciona todo… jajaja.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
La información sobre la yapa está en el portal oficial.,neutro
"¡No me rolees con esa yapa, cómo te atreves!",agresivo
"No sé si convenga meterse en esa pata, ya tú sabes.",evasivo
"Genial, otra maravilla cortesía de la chuchu, pe.",irónico
"¡Qué original tu idea de la yapa, nunca lo había oído!",irónico
"Genial, otra maravilla cortesía de la chalina, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¡Qué original tu idea de la chalina, nunca lo había oído!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La información sobre la jale está en el portal oficial.,neutro
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"¡Excelente, más achachila para alegrar el día… dijo nadie!",irónico
"¡Excelente, más mishi para alegrar el día… dijo nadie!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"Deja de joder con tu jale, pe, en serio.",agresivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"Deja de joder con tu pachita, pe, en serio.",agresivo
"Por favor, remítase al informe sobre la pata adjunto.",formal
Se programó una sesión informativa sobre la jale.,neutro
"¡Qué original tu idea de la apunada, nunca lo había oído!",irónico
"Estimado señor, le agradecería clarificar lo relativo a la yapa.",formal
"Claro, porque la pe siempre soluciona todo… jajaja.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la wawa.",formal
Solicito confirmación de recepción de la documentación pertinente.,formal
"¡Excelente, más chalina para alegrar el día… dijo nadie!",irónico
La información sobre la mishi está en el portal oficial.,neutro
"Genial, otra maravilla cortesía de la jato, pe.",irónico
La ñañu se encuentra disponible en la oficina central.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la yapa.",formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
El horario de atención para la chuchu es de 8 a 16 horas.,neutro
"Bueno pe, ya veremos qué onda con esa apunada.",evasivo
